"gid","x","y","text"
315,-118.348733909839,33.9172012789434,"POINT(-118.348733909839 33.9172012789434)"
316,-122.077274841079,37.6436226562358,"POINT(-122.077274841079 37.6436226562358)"
317,-122.866755815318,38.6175911927761,"POINT(-122.866755815318 38.6175911927761)"
318,-116.983149175648,33.7419929557462,"POINT(-116.983149175648 33.7419929557462)"
319,-122.259050645673,38.0074822846811,"POINT(-122.259050645673 38.0074822846811)"
320,-118.399810331687,33.8663008971226,"POINT(-118.399810331687 33.8663008971226)"
321,-117.306276758979,34.4128952328036,"POINT(-117.306276758979 34.4128952328036)"
322,-117.202455975175,34.118450978998,"POINT(-117.202455975175 34.118450978998)"
323,-122.356608486243,37.5601881238098,"POINT(-122.356608486243 37.5601881238098)"
324,-121.398576424782,36.8470949009341,"POINT(-121.398576424782 36.8470949009341)"
325,-118.00030839221,33.692876197333,"POINT(-118.00030839221 33.692876197333)"
326,-118.21750223623,33.9823520376598,"POINT(-118.21750223623 33.9823520376598)"
327,-117.117199702801,32.5782443712436,"POINT(-117.117199702801 32.5782443712436)"
328,-116.231951637045,33.7198649179751,"POINT(-116.231951637045 33.7198649179751)"
329,-118.346208569389,33.9575004060269,"POINT(-118.346208569389 33.9575004060269)"
330,-117.792687853539,33.6840540291443,"POINT(-117.792687853539 33.6840540291443)"
331,-119.86061771465,34.4145759571941,"POINT(-119.86061771465 34.4145759571941)"
332,-121.128167849188,36.2112347785407,"POINT(-121.128167849188 36.2112347785407)"
333,-118.199618243875,34.2060357184849,"POINT(-118.199618243875 34.2060357184849)"
334,-118.236965592264,34.2249426190452,"POINT(-118.236965592264 34.2249426190452)"
335,-122.111914521186,37.8912166034675,"POINT(-122.111914521186 37.8912166034675)"
336,-121.42765393408,38.4238692953799,"POINT(-121.42765393408 38.4238692953799)"
337,-117.769149708865,33.5315137637881,"POINT(-117.769149708865 33.5315137637881)"
338,-117.699672977832,33.5995792002295,"POINT(-117.699672977832 33.5995792002295)"
339,-117.702607373949,33.5319270332974,"POINT(-117.702607373949 33.5319270332974)"
340,-117.732896090042,33.6091540911598,"POINT(-117.732896090042 33.6091540911598)"
341,-117.951829398415,33.9293019918314,"POINT(-117.951829398415 33.9293019918314)"
342,-117.345420029372,33.6813716781798,"POINT(-117.345420029372 33.6813716781798)"
343,-117.690836488019,33.6416313308847,"POINT(-117.690836488019 33.6416313308847)"
